x	y	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
513965	557905	1561	1706	1966	2247.3125	2437.375	2641.9375	2779	3042.375	4869.1875	4080.4375	cultivos
513935	558995	1618	1806	2004	2521.25	3073.25	3381.6875	3505	3863.5625	4694.8125	3542.4375	cultivos
513945	558305	1509	1618	1844	2005.9375	2137	2286.375	2451	2613.9375	4683.1875	4463.0625	cultivos
513665	559985	1741	1919	2298	2513.5625	2699.4375	2928.375	3012	3279.875	4647.6875	3920.6875	cultivos
512935	558355	1792	2012	2422	2704.5	2874.9375	3061.875	3146	3391.3125	4674.75	3962.75	cultivos
513735	559765	1532	1716	1937	2383.9375	2954.6875	3243.875	3386	3665.5625	4545.5625	3533.5	cultivos
514315	558495	1702	1888	2236	2457.4375	2610.9375	2788	2986	3113.125	4909	4279.1875	cultivos
512945	558265	1744	1974	2316	2618.375	2764.5625	2991.1875	3070	3292.75	4487.3125	3874.125	cultivos
513985	559445	1500	1594	1845	2045.25	2177.5	2358.125	2483	2698.5	4709.625	4343.5	cultivos
513785	558165	1510	1618	1856	2069.6875	2243.5	2384	2472	2708.9375	4177	3812.875	cultivos
512965	557945	1901	2272	2612	3159.125	3945.875	4224.9375	4375	4586.625	5155.75	3873.1875	cultivos
512785	559295	1762	2070	2390	2922.25	3465.375	3712.25	3939	4138.8125	4876	3637.75	cultivos
516865	561965	1654	1939	2100	2730.8125	3227.0625	3479.4375	3510	3845.375	4833.125	3439.125	cultivos
513475	558795	1752	1976	2334	2669.1875	2834.9375	3011.625	3060	3349.25	4704.75	4062.75	cultivos
513595	559045	1606	1834	2013	2501.625	3055.6875	3342.8125	3500	3839.5	4728.75	3593.125	cultivos
517855	561635	1630	1911	2102	2642	3111.5625	3333.25	3503	3753.625	4270.5	3010.1875	cultivos
513965	558845	1680	2052	2104	2767.75	3995.8125	4318.875	4395	4679	4554.9375	3231.9375	cultivos
514395	559425	1554	1674	1910	2126.9375	2284.1875	2460.9375	2598	2829.75	4444.9375	3967.1875	cultivos
513025	558325	1622	1856	2118	2524.8125	2834.0625	3042.375	3147	3421.5625	4573.4375	3790.625	cultivos
514135	559415	1504	1630	1852	2040.4375	2199.0625	2366.125	2499	2685.5	4689.3125	4332.625	cultivos
513405	558025	1838	2130	2568	2827.8125	2979.0625	3165.6875	3320	3539.5625	4798.5	4086.6875	cultivos
513165	557985	1800	2064	2456	2757.75	2927.9375	3101.875	3176	3449.5	4916.1875	4196.5625	cultivos
513385	558765	1816	2026	2420	2646.5	2838.8125	3008.25	3128	3330.125	4865	4199.375	cultivos
517555	561915	1689	1991	2230	2803.625	3309.5	3566.0625	3597	3976.9375	4924.5625	3518.75	cultivos
513365	558775	1836	2038	2428	2695.9375	2871.8125	3064.625	3166	3358	4887.9375	4200.3125	cultivos
517495	561545	1620	1906	2015	2668.375	3287.6875	3542.5625	3573	3922.5625	4486.25	3109.875	cultivos
517765	561675	1572	1786	1996	2539	3020.375	3258.75	3302	3665.5625	4182.375	2935.4375	cultivos
513415	558505	1734	1960	2296	2590.625	2722.75	2925	2969	3238.3125	4733.6875	4163.3125	cultivos
514625	559325	1556	1689	1920	2150.8125	2301.1875	2493.0625	2629	2856.5	4643.5625	4279.3125	cultivos
513985	557785	1696	1922	2260	2628.875	2919	3161.375	3426	3707.6875	5209.375	4058.375	cultivos
513995	558625	1760	1943	2306	2536	2695.25	2862.25	2976	3185.75	4937.875	4333.0625	cultivos
