Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
551505	495115	1893	1884	1519	1936.3125	4015.75	4901.6875	4697	5280.125	2643.75	1649.125	Vegetacion
502965	515685	2046	2014	1685	2165.3125	3998.9375	4778.625	4349	5288.5	3065.5625	1848.125	Nubes
503785	548105	1940	1927	1546	2071.125	4366.5625	5459.625	5434	5998.5	3141.4375	1829.75	Nubes
552025	495125	1880	1817	1503	1890.6875	3454	4107.1875	3848	4445.5625	2686.8125	1699.6875	Vegetacion
586245	499845	1677	1617	1465	1741.875	2522.0625	2758.8125	2690	2922.1875	2187.25	1637.5	Urbano
588405	498675	1700	1675	1553	1845.4375	2588.0625	2823.125	2813	3057.5625	2544	1867.125	Urbano
548305	559585	1914	1706	1475	1618.8125	2088.5	2325.9375	2172	2434.75	1746.5	1467.4375	Nubes
503995	541495	3428	3431	3431	3302.6875	4189.1875	4667.875	4656	5003.3125	3760.875	2957.6875	Nubes
563885	534085	4237	4147	4257	4679.25	5510.1875	5994.0625	5711	6256	5280.1875	4557.4375	Nubes
604225	523725	2119	2252	2638	2653.6875	3421	3369.9375	3234	3440.75	3513.5625	3291.8125	Urbano
506495	547805	1901	1875	1499	2045.9375	4254.875	5204.6875	5001	5689.6875	3037.625	1759.875	Nubes
548125	501085	1792	1705	1411	1766.625	2871.75	3253.875	3008	3457.875	2302	1521.4375	Vegetacion
503825	507485	1987	1934	1630	2066.9375	3782.125	4492.125	4108	4997.6875	3168.4375	1876.6875	Nubes
503065	511965	4196	3697	2872	3139.125	4402.375	5027.5	5276	5351.4375	4042.375	2744.3125	Nubes
600845	509795	2231	2164	2203	2226.375	2303	2408.875	2374	2475.5625	2967.75	2917.25	Urbano
600075	513735	2615	2612	2725	2987.375	3137.8125	3253.0625	2819	3309.375	3428.125	2914.875	Urbano
527585	536735	2085	2118	1947	2357.5	3166.8125	3548.375	3395	3870.625	3392.6875	2310.875	Agua
602575	510845	1864	1673	1735	2211.4375	2483.4375	2605.875	2380	2684.3125	2747.75	2462.3125	Urbano
